Code,Desc,Male,Female
1110,"Growing of cereals, except rice",1538,*
1120,Growing of rice,,
1130,"Grwng veg & melons, roots & tubers",1530,654
1140,Growing of sugar cane,,
1150,Growing of tobacco,,
1160,Growing of fibre crops,,*
1190,Grwing of othr nonperennial crops,370,*
1210,Growing of grapes,,
1220,Grwing of trop & subtrpical fruits,,
1230,Growing of citrus fruits,,
1240,Grwng of pome fruits & stone fruit,325,*
1250,"Grwng othr tree, bush fruit & nuts",*,
1260,Growing of oleaginous fruits,,
1270,Growing of beverage crops,,
1280,"Grwing spices, drug & pharm crops",,
1290,Growing of other perennial crops,*,*
1300,Plant propagation,1970,*
1410,Raising of dairy cattle,20622,6301
1420,Raising other cattle and buffaloes,18599,4036
1430,Raising horses and other equines,1978,2078
1440,Raising of camels and camelids,,
1450,Raising of sheep and goats,13091,3015
1460,Raising of swinepigs,1527,*
1470,Raising of poultry,2413,433
1490,Raising of other animals,1605,2717
1500,Mixed farming,41295,8471
1610,Support activs for crop production,12679,1381
1620,Support activities for animal prod,3797,524
1630,Postharvest crop activities,,
1640,Postharvest crop activities,811,*
1700,"Hunting, trappng & reltd serv actv",*,
2100,Silviculture & other forestry actv,2538,*
2200,Logging,3642,*
2300,Gathring wild grwing nonwood prod,*,
2400,Support services to forestry,2100,*
3110,Marine fishing,4742,*
3120,Freshwater fishing,*,
3210,Marine aquaculture,*,*
3220,Freshwater aquaculture,297,
5100,Mining of hard coal,,
5200,Mining of lignite,*,
6100,Extraction of crude petroleum,1585,
6200,Extraction of natural gas,*,
7100,Mining of iron ores,,
7210,Mining of uranium and thorium ores,,*
7290,Mining othr nonferrous metal ores,,
8110,Quarry ornamental & building stone,*,
8120,Operation of gravel & sand pits,,
8910,Mining chem & fertiliser minerals,*,
8920,Extraction of peat,,
8930,Extraction of salt,,
8990,Other mining and quarrying n.e.c.,*,*
9100,Supp actv petrol & nat gas extracn,6571,660
9900,Supp actv other mining & quarrying,1214,
10110,Processing and preserving of meat,*,
10120,Proc & preserving of poultry meat,,*
10130,Productn meat & poultry meat prod,*,
10200,"Proc fish, crustaceans & molluscs",288,
10310,Proc and preserving of potatoes,*,
10320,Manu of fruit & vegetable juice,,
10390,Other proc & presvg of fruit & veg,1840,1179
10410,Manufacture of oils and fats,,
10420,Manu margarine & sim edible fats,,
10510,Operation dairies & cheese making,*,*
10520,Manufacture of ice cream,*,*
10610,Manufacture of grain mill products,*,1372
10620,Manu of starches & starch products,,
10710,"Man bread, fresh pastry gds & cake",1434,3966
10720,Man ruskbiscpres pastry gdscake,*,1619
10730,"Man mac, nood, couscous & sim prod",,*
10810,Manufacture of sugar,,
10820,"Man cocoa, chocolate & sugar conf",566,1222
10830,Processing of tea and coffee,*,
10840,Manu of condiments & seasonings,*,*
10850,Manu of prepared meals & dishes,*,
10860,Man homogen food preps & diet food,*,
10890,Manu other food products n.e.c.,*,559
10910,Manu preprd feeds for farm animals,563,*
10920,Manufacture of prepared pet foods,,
11010,"Distil, rectifyg & blending spirit",*,*
11020,Manufacture of wine from grape,,
11030,Manuf of cider & other fruit wines,*,
11040,Man other nondistil fermentd bev,,
11050,Manufacture of beer,1468,*
11060,Manufacture of malt,,
11070,Manu soft drinks & mineral waters,*,
12000,Manufacture of tobacco products,,
13100,Prep & spinning of textile fibres,*,782
13200,Weaving of textiles,135,944
13300,Finishing of textiles,293,1274
13910,Manu knitted & crocheted fabrics,,*
13920,"Man madeup textile art, exc appl",863,3713
13930,Manufacture of carpets and rugs,,
13940,"Man cordage, rope, twine & netting",*,691
13950,"Man nonwoven & assoc art, ex appl",,
13960,Manuf of other tech & ind textiles,,*
13990,Manufacture other textiles n.e.c.,,
14110,Manufacture of leather clothes,*,*
14120,Manufacture of workwear,1898,*
14130,Manufacture of other outerwear,1197,2806
14140,Manufacture of underwear,*,*
14190,Manu other wearing apprl & acces,,3636
14200,Manufacture of articles of fur,,*
14310,Manu knitted & crocheted hosiery,,
14390,Man other knitted & crocheted appl,*,*
15110,"Tanning, dressing, dye leathrfur",,
15120,"Man lug, hndbgs, sddlry & harness",953,582
15200,Manufacture of footwear,,
16100,Sawmilling and planing of wood,373,
16210,Man ven sheets & woodbased panels,,
16220,Manuf of assembled parquet floors,,
16230,Manu of other builders,10184,764
16240,Manufacture of wooden containers,*,*
16290,Man oth prod wood & plaiting mat,1973,748
17110,Manufacture of pulp,1037,
17120,Manuf of paper and paperboard,762,*
17210,Man & cont corrgatd pper & pperbrd,,
17220,Manu of hhold & sanittoilet goods,,
17230,Manufacture of paper stationery,,*
17240,Manufacture of wallpaper,,*
17290,Man othr art of ppr & pprbd n.e.c.,548,537
18110,Printing of newspapers,,
18120,Other printing,5540,1721
18130,Prepress and premedia services,1763,741
18140,Binding and related services,*,*
18200,Reproduction of recorded media,1006,
19100,Manufacture of coke oven products,,
19200,Manu of refined petroleum prod,478,
20110,Manufacture of industrial gases,*,
20120,Manufacture of dyes and pigments,,
20130,Manu other inorganic basic chem,,
20140,Manuf of other organic basic chem,468,
20150,Man fertilisers & nitro compounds,*,
20160,Manuf of plastics in primary forms,*,
20170,Manu synth rubber in primary forms,,
20200,Manu of pest & other agrochem prod,,
20300,Manu of paints & related products,*,*
20410,Man soap & detgts clean & pol prep,,*
20420,Man perfumes & toilet preparations,,900
20510,Manufacture of explosives,*,
20520,Manufacture of glues,*,*
20530,Manufacture of essential oils,,*
20590,Manu of other chemical prod n.e.c.,*,
20600,Manufacture of manmade fibres,,
21100,Manuf of basic pharmaceutical prod,1277,1244
21200,Man of pharmaceutical preparations,933,*
22110,"Manu, retread of rub tyres & tubes",,
22190,Manuf of other rubber products,*,*
22210,"Man plastic plates, sheets, tubes",,
22220,Manuf of plastic packing goods,1063,*
22230,Manuf of builders? ware of plastic,4452,*
22290,Manuf of other plastic products,896,*
23110,Manufacture of flat glass,,
23120,Shaping and procesng of flat glass,763,708
23130,Manufacture of hollow glass,*,*
23140,Manufacture of glass fibres,*,
23190,"Man & proc oth glas, inc tech glas",*,
23200,Manufacture of refractory products,*,
23310,Manuf of ceramic tiles and flags,*,*
23320,"Man bricks, tiles & constr prod",*,
23410,Man ceramic hhold & ornm artcls,*,1043
23420,Manuf of ceramic sanitary fixtures,,
23430,Manu of ceramic inslts & inslg fit,,
23440,Man othr technical ceramic prod,,
23490,Manuf of other ceramic products,*,*
23510,Manufacture of cement,,
